t x0 y0 x1 y1 x2 y2 vx0 vy0 vx1 vy1 vx2 vy2 
0 0 0 1 0 2 0 0 0 0 0.5 0 0 
0.01 2.5e-05 0 1 0.005 1.99998 0 0.0025 0 -2.77556e-19 0.5 -0.0025 0 
0.02 7.49869e-05 1.24938e-07 1 0.00999975 1.99993 1.24938e-07 0.00499869 1.24938e-05 3.33067e-18 0.499975 -0.00499869 1.24938e-05 
0.03 0.000149942 4.99568e-07 1 0.014999 1.99985 4.99568e-07 0.00749553 3.74631e-05 3.33067e-18 0.499925 -0.00749553 3.74631e-05 
0.04 0.000249842 1.24838e-06 1 0.0199975 1.99975 1.24838e-06 0.00998997 7.48816e-05 3.60822e-18 0.49985 -0.00998997 7.48816e-05 
0.05 0.000374657 2.49554e-06 1 0.024995 1.99963 2.49554e-06 0.0124815 0.000124715 7.21645e-18 0.499751 -0.0124815 0.000124715 
0.06 0.000524352 4.36475e-06 1 0.0299913 1.99948 4.36475e-06 0.0149696 0.000186921 1.08247e-17 0.499626 -0.0149696 0.000186921 
0.07 0.000698889 6.97925e-06 1 0.034986 1.9993 6.97925e-06 0.0174536 0.00026145 1.41553e-17 0.499477 -0.0174536 0.00026145 
0.08 0.00089822 1.04617e-05 1 0.0399791 1.9991 1.04617e-05 0.0199332 0.000348243 1.38778e-17 0.499304 -0.0199332 0.000348243 
0.09 0.0011223 1.4934e-05 1 0.0449701 1.99888 1.4934e-05 0.0224077 0.000447236 9.99201e-18 0.499106 -0.0224077 0.000447236 
0.1 0.00137106 2.05176e-05 1 0.049959 1.99863 2.05176e-05 0.0248767 0.000558354 9.4369e-18 0.498883 -0.0248767 0.000558354 
0.11 0.00164446 2.73328e-05 1 0.0549453 1.99836 2.73328e-05 0.0273396 0.000681518 5.55112e-18 0.498637 -0.0273396 0.000681518 
0.12 0.00194242 3.54992e-05 1 0.059929 1.99806 3.54992e-05 0.029796 0.000816639 1.94289e-18 0.498367 -0.029796 0.000816639 
0.13 0.00226487 4.51354e-05 1 0.0649097 1.99774 4.51354e-05 0.0322453 0.000963624 1.94289e-18 0.498073 -0.0322453 0.000963624 
0.14 0.00261175 5.63591e-05 1 0.0698873 1.99739 5.63591e-05 0.0346871 0.00112237 1.94289e-18 0.497755 -0.0346871 0.00112237 
0.15 0.00298295 6.92868e-05 1 0.0748614 1.99702 6.92868e-05 0.0371209 0.00129277 1.94289e-18 0.497414 -0.0371209 0.00129277 
0.16 0.00337842 8.40339e-05 1 0.0798319 1.99662 8.40339e-05 0.0395462 0.00147471 1.66533e-18 0.497051 -0.0395462 0.00147471 
0.17 0.00379804 0.000100714 1 0.0847986 1.9962 0.000100714 0.0419626 0.00166806 1.66533e-18 0.496664 -0.0419626 0.00166806 
0.18 0.00424174 0.000119442 1 0.0897611 1.99576 0.000119442 0.0443696 0.00187271 1.66533e-18 0.496255 -0.0443696 0.00187271 
0.19 0.00470941 0.000140327 1 0.0947193 1.99529 0.000140327 0.0467668 0.00208851 1.66533e-18 0.495823 -0.0467668 0.00208851 
0.2 0.00520095 0.00016348 1 0.099673 1.9948 0.00016348 0.0491537 0.00231533 1.66533e-18 0.495369 -0.0491537 0.00231533 
0.21 0.00571625 0.00018901 1 0.104622 1.99428 0.00018901 0.05153 0.00255303 1.94289e-18 0.494894 -0.05153 0.00255303 
0.22 0.0062552 0.000217025 1 0.109566 1.99374 0.000217025 0.0538952 0.00280145 1.94289e-18 0.494397 -0.0538952 0.00280145 
0.23 0.00681769 0.000247629 1 0.114505 1.99318 0.000247629 0.0562489 0.00306045 1.94289e-18 0.493879 -0.0562489 0.00306045 
0.24 0.00740359 0.000280928 1 0.119438 1.9926 0.000280928 0.0585908 0.00332986 1.94289e-18 0.49334 -0.0585908 0.00332986 
0.25 0.0080128 0.000317023 1 0.124366 1.99199 0.000317023 0.0609204 0.00360952 2.77556e-19 0.492781 -0.0609204 0.00360952 
0.26 0.00864517 0.000356016 1 0.129288 1.99135 0.000356016 0.0632374 0.00389927 -3.33067e-18 0.492201 -0.0632374 0.00389927 
0.27 0.00930059 0.000398005 1 0.134204 1.9907 0.000398005 0.0655416 0.00419894 -6.93889e-18 0.491602 -0.0655416 0.00419894 
0.28 0.00997891 0.000443088 1 0.139114 1.99002 0.000443088 0.0678324 0.00450834 -1.36002e-17 0.490983 -0.0678324 0.00450834 
0.29 0.01068 0.000491362 1 0.144017 1.98932 0.000491362 0.0701097 0.00482732 -1.66533e-17 0.490345 -0.0701097 0.00482732 
0.3 0.0114037 0.000542918 1 0.148914 1.9886 0.000542918 0.0723731 0.00515568 -2.33147e-17 0.489689 -0.0723731 0.00515568 
0.31 0.01215 0.000597851 1 0.153804 1.98785 0.000597851 0.0746223 0.00549324 -2.63678e-17 0.489014 -0.0746223 0.00549324 
