t,alpha,alpha_dot
0,0.5,0
0.005,0.5,-0.0235158
0.01,0.499882,-0.0470316
0.015,0.499647,-0.0705424
0.02,0.499295,-0.094043
0.025,0.498824,-0.117528
0.03,0.498237,-0.140994
0.035,0.497532,-0.164434
0.04,0.49671,-0.187843
0.045,0.49577,-0.211217
0.05,0.494714,-0.234551
0.055,0.493542,-0.257839
0.06,0.492252,-0.281076
0.065,0.490847,-0.304258
0.07,0.489326,-0.327378
0.075,0.487689,-0.350433
0.08,0.485937,-0.373418
0.085,0.484069,-0.396326
0.09,0.482088,-0.419153
0.095,0.479992,-0.441894
0.1,0.477783,-0.464544
0.105,0.47546,-0.487098
0.11,0.473024,-0.50955
0.115,0.470477,-0.531896
0.12,0.467817,-0.554131
0.125,0.465047,-0.57625
0.13,0.462165,-0.598247
0.135,0.459174,-0.620118
0.14,0.456073,-0.641857
0.145,0.452864,-0.66346
0.15,0.449547,-0.684921
0.155,0.446122,-0.706237
0.16,0.442591,-0.7274
0.165,0.438954,-0.748407
0.17,0.435212,-0.769253
0.175,0.431366,-0.789933
0.18,0.427416,-0.810441
0.185,0.423364,-0.830774
0.19,0.41921,-0.850925
0.195,0.414955,-0.87089
0.2,0.410601,-0.890664
0.205,0.406148,-0.910243
0.21,0.401596,-0.929622
0.215,0.396948,-0.948795
0.22,0.392204,-0.967758
0.225,0.387366,-0.986506
0.23,0.382433,-1.00503
0.235,0.377408,-1.02334
0.24,0.372291,-1.04141
0.245,0.367084,-1.05926
0.25,0.361788,-1.07686
0.255,0.356404,-1.09422
0.26,0.350932,-1.11134
0.265,0.345376,-1.1282
0.27,0.339735,-1.1448
0.275,0.334011,-1.16115
0.28,0.328205,-1.17723
0.285,0.322319,-1.19304
0.29,0.316354,-1.20858
0.295,0.310311,-1.22384
0.3,0.304192,-1.23881
0.305,0.297997,-1.25351
0.31,0.29173,-1.26791
0.315,0.28539,-1.28201
0.32,0.27898,-1.29582
0.325,0.272501,-1.30933
0.33,0.265955,-1.32253
0.335,0.259342,-1.33542
0.34,0.252665,-1.348
0.345,0.245925,-1.36026
0.35,0.239123,-1.37221
0.355,0.232262,-1.38382
0.36,0.225343,-1.39511
0.365,0.218368,-1.40607
0.37,0.211337,-1.4167
0.375,0.204254,-1.42699
0.38,0.197119,-1.43694
0.385,0.189934,-1.44654
0.39,0.182702,-1.4558
0.395,0.175423,-1.46472
0.4,0.168099,-1.47328
0.405,0.160733,-1.48148
0.41,0.153325,-1.48933
0.415,0.145878,-1.49682
0.42,0.138394,-1.50395
0.425,0.130875,-1.51072
0.43,0.123321,-1.51712
0.435,0.115735,-1.52316
0.44,0.10812,-1.52882
0.445,0.100475,-1.53411
0.45,0.0928049,-1.53903
0.455,0.0851098,-1.54358
0.46,0.0773919,-1.54775
0.465,0.0696531,-1.55154
0.47,0.0618954,-1.55495
0.475,0.0541207,-1.55799
0.48,0.0463307,-1.56064
0.485,0.0385275,-1.56291
0.49,0.030713,-1.5648
0.495,0.0228889,-1.56631
0.5,0.0150574,-1.56743
0.505,0.00722025,-1.56817
0.51,-0.000620601,-1.56852
0.515,-0.00846322,-1.56849
0.52,-0.0163057,-1.56808
0.525,-0.0241461,-1.56728
0.53,-0.0319825,-1.56609
0.535,-0.0398129,-1.56453
0.54,-0.0476356,-1.56257
0.545,-0.0554484,-1.56024
0.55,-0.0632496,-1.55752
0.555,-0.0710372,-1.55442
0.56,-0.0788093,-1.55094
0.565,-0.086564,-1.54708
0.57,-0.0942994,-1.54284
0.575,-0.102014,-1.53822
0.58,-0.109705,-1.53322
0.585,-0.117371,-1.52785
0.59,-0.12501,-1.52211
0.595,-0.132621,-1.51599
0.6,-0.1402,-1.50951
0.605,-0.147748,-1.50265
0.61,-0.155261,-1.49543
0.615,-0.162738,-1.48785
0.62,-0.170178,-1.4799
0.625,-0.177577,-1.47159
0.63,-0.184935,-1.46293
0.635,-0.19225,-1.45391
0.64,-0.199519,-1.44454
0.645,-0.206742,-1.43481
0.65,-0.213916,-1.42475
0.655,-0.22104,-1.41433
0.66,-0.228111,-1.40358
0.665,-0.235129,-1.39249
0.67,-0.242092,-1.38106
0.675,-0.248997,-1.3693
0.68,-0.255844,-1.35721
0.685,-0.26263,-1.3448
0.69,-0.269354,-1.33207
0.695,-0.276014,-1.31901
0.7,-0.282609,-1.30565
0.705,-0.289137,-1.29197
0.71,-0.295597,-1.27798
0.715,-0.301987,-1.26369
0.72,-0.308305,-1.24911
0.725,-0.314551,-1.23422
0.73,-0.320722,-1.21905
0.735,-0.326817,-1.20358
0.74,-0.332835,-1.18784
0.745,-0.338774,-1.17181
0.75,-0.344634,-1.15551
0.755,-0.350411,-1.13894
0.76,-0.356106,-1.1221
0.765,-0.361716,-1.105
0.77,-0.367241,-1.08764
0.775,-0.372679,-1.07003
0.78,-0.37803,-1.05217
0.785,-0.38329,-1.03407
0.79,-0.388461,-1.01572
0.795,-0.393539,-0.997146
0.8,-0.398525,-0.978337
0.805,-0.403417,-0.959303
0.81,-0.408213,-0.940048
0.815,-0.412914,-0.920576
0.82,-0.417516,-0.900893
0.825,-0.422021,-0.881004
0.83,-0.426426,-0.860913
0.835,-0.430731,-0.840625
0.84,-0.434934,-0.820145
0.845,-0.439034,-0.799478
0.85,-0.443032,-0.778628
0.855,-0.446925,-0.757601
0.86,-0.450713,-0.736402
0.865,-0.454395,-0.715036
0.87,-0.45797,-0.693507
0.875,-0.461438,-0.67182
0.88,-0.464797,-0.649981
0.885,-0.468047,-0.627995
0.89,-0.471187,-0.605867
0.895,-0.474216,-0.583601
0.9,-0.477134,-0.561202
0.905,-0.47994,-0.538677
0.91,-0.482633,-0.516029
0.915,-0.485214,-0.493264
0.92,-0.48768,-0.470388
0.925,-0.490032,-0.447404
0.93,-0.492269,-0.424318
0.935,-0.49439,-0.401136
0.94,-0.496396,-0.377862
0.945,-0.498285,-0.354502
0.95,-0.500058,-0.33106
0.955,-0.501713,-0.307541
0.96,-0.503251,-0.283952
0.965,-0.504671,-0.260296
0.97,-0.505972,-0.236579
0.975,-0.507155,-0.212807
0.98,-0.508219,-0.188984
0.985,-0.509164,-0.165115
0.99,-0.50999,-0.141206
0.995,-0.510696,-0.117261
1,-0.511282,-0.0932862
1.005,-0.511748,-0.0692862
1.01,-0.512095,-0.0452663
1.015,-0.512321,-0.0212316
1.02,-0.512427,0.00281278
