t,alpha,alpha_dot
0,0.5,0
0.005,0.499941,-0.0235158
0.01,0.499765,-0.0470266
0.015,0.499471,-0.0705272
0.02,0.49906,-0.0940127
0.025,0.498531,-0.117478
0.03,0.497885,-0.140918
0.035,0.497122,-0.164327
0.04,0.496242,-0.187701
0.045,0.495245,-0.211035
0.05,0.494131,-0.234323
0.055,0.492901,-0.257561
0.06,0.491556,-0.280742
0.065,0.490094,-0.303864
0.07,0.488517,-0.326919
0.075,0.486825,-0.349904
0.08,0.485018,-0.372812
0.085,0.483097,-0.39564
0.09,0.481062,-0.418382
0.095,0.478913,-0.441033
0.1,0.476651,-0.463588
0.105,0.474277,-0.486042
0.11,0.471791,-0.50839
0.115,0.469193,-0.530627
0.12,0.466485,-0.552747
0.125,0.463666,-0.574747
0.13,0.460737,-0.596621
0.135,0.457699,-0.618363
0.14,0.454553,-0.639969
0.145,0.4513,-0.661435
0.15,0.447939,-0.682754
0.155,0.444472,-0.703923
0.16,0.4409,-0.724935
0.165,0.437223,-0.745787
0.17,0.433442,-0.766473
0.175,0.429558,-0.786989
0.18,0.425572,-0.807329
0.185,0.421485,-0.827489
0.19,0.417297,-0.847463
0.195,0.41301,-0.867248
0.2,0.408625,-0.886837
0.205,0.404142,-0.906227
0.21,0.399563,-0.925413
0.215,0.394888,-0.94439
0.22,0.390119,-0.963152
0.225,0.385256,-0.981697
0.23,0.380302,-1.00002
0.235,0.375256,-1.01811
0.24,0.370121,-1.03597
0.245,0.364896,-1.0536
0.25,0.359585,-1.07098
0.255,0.354187,-1.08812
0.26,0.348703,-1.105
0.265,0.343137,-1.12164
0.27,0.337487,-1.13801
0.275,0.331756,-1.15412
0.28,0.325946,-1.16996
0.285,0.320057,-1.18553
0.29,0.314091,-1.20082
0.295,0.308049,-1.21584
0.3,0.301932,-1.23057
0.305,0.295743,-1.24501
0.31,0.289482,-1.25916
0.315,0.283151,-1.27301
0.32,0.276752,-1.28657
0.325,0.270286,-1.29982
0.33,0.263754,-1.31276
0.335,0.257158,-1.32539
0.34,0.2505,-1.33771
0.345,0.243781,-1.34971
0.35,0.237003,-1.36139
0.355,0.230167,-1.37274
0.36,0.223275,-1.38377
0.365,0.216329,-1.39446
0.37,0.209331,-1.40483
0.375,0.202281,-1.41485
0.38,0.195182,-1.42453
0.385,0.188036,-1.43388
0.39,0.180844,-1.44287
0.395,0.173607,-1.45152
0.4,0.166328,-1.45982
0.405,0.159009,-1.46776
0.41,0.151651,-1.47535
0.415,0.144256,-1.48258
0.42,0.136825,-1.48945
0.425,0.129361,-1.49596
0.43,0.121865,-1.50211
0.435,0.11434,-1.50789
0.44,0.106787,-1.5133
0.445,0.0992069,-1.51834
0.45,0.0916031,-1.52302
0.455,0.0839768,-1.52732
0.46,0.0763299,-1.53124
0.465,0.0686643,-1.5348
0.47,0.0609819,-1.53797
0.475,0.0532846,-1.54078
0.48,0.0455742,-1.5432
0.485,0.0378526,-1.54524
0.49,0.0301217,-1.54691
0.495,0.0223835,-1.5482
0.5,0.0146397,-1.54911
0.505,0.00689241,-1.54964
0.51,-0.000856612,-1.54978
0.515,-0.00860542,-1.54955
0.52,-0.0163521,-1.54894
0.525,-0.0240948,-1.54795
0.53,-0.0318316,-1.54658
0.535,-0.0395606,-1.54483
0.54,-0.0472799,-1.5427
0.545,-0.0549875,-1.54019
0.55,-0.0626817,-1.5373
0.555,-0.0703606,-1.53404
0.56,-0.0780222,-1.53041
0.565,-0.0856647,-1.5264
0.57,-0.0932862,-1.52201
0.575,-0.100885,-1.51726
0.58,-0.108459,-1.51213
0.585,-0.116006,-1.50664
0.59,-0.123525,-1.50078
0.595,-0.131014,-1.49455
0.6,-0.138471,-1.48796
0.605,-0.145894,-1.48101
0.61,-0.153281,-1.4737
0.615,-0.160631,-1.46604
0.62,-0.167941,-1.45801
0.625,-0.175211,-1.44964
0.63,-0.182438,-1.44091
0.635,-0.18962,-1.43184
0.64,-0.196756,-1.42242
0.645,-0.203844,-1.41266
0.65,-0.210883,-1.40256
0.655,-0.21787,-1.39213
0.66,-0.224804,-1.38136
0.665,-0.231683,-1.37026
0.67,-0.238507,-1.35883
0.675,-0.245272,-1.34708
0.68,-0.251977,-1.33501
0.685,-0.258622,-1.32263
0.69,-0.265204,-1.30993
0.695,-0.271721,-1.29691
0.7,-0.278173,-1.2836
0.705,-0.284557,-1.26998
0.71,-0.290873,-1.25606
0.715,-0.297118,-1.24184
0.72,-0.303291,-1.22734
0.725,-0.309391,-1.21254
0.73,-0.315416,-1.19747
0.735,-0.321366,-1.18211
0.74,-0.327238,-1.16648
0.745,-0.333031,-1.15058
0.75,-0.338743,-1.13441
0.755,-0.344375,-1.11798
0.76,-0.349923,-1.10129
0.765,-0.355388,-1.08435
0.77,-0.360767,-1.06716
0.775,-0.366059,-1.04972
0.78,-0.371264,-1.03204
